evidence_id,program,subproject,source_file,page_range,evidence_type,review_lens,observation,scope,confidence,promotion_status,notes
EV-001,PI-LAM 2026,세부2,선정평가의견_반영사항_대비표_세부2.pdf,1~2,평가의견,데이터,공정별 데이터 규모·처리단계·시간정합·결측·라벨링·AI 기여도 구체화 요구,profile,high,profile-rule,동일 사업 근거
EV-002,PI-LAM 2026,세부2,선정평가의견_반영사항_대비표_세부2.pdf,1~6,평가의견,KPI,"연차 목표, 성능/성과 구분, 기준선, 외부검증, AI 차별성 지표 요구",profile,high,profile-rule,
EV-003,PI-LAM 2026,세부2,선정평가의견_반영사항_대비표_세부2.pdf,2~7,평가의견,연계·사업화,"총괄과제 역할분담, PoC·과적합·복귀, 수요기업 역할, 사업화 구체화 요구",profile,high,profile-rule,
EV-004,PI-LAM 2026,세부3,선정평가의견_반영사항_대비표_세부3.pdf,1~3,평가의견,데이터·연계,"KG-PINN 연계, 이종설비 통합, 시간동기, 행동데이터 표준화·보안 요구",profile,high,profile-rule,
EV-005,PI-LAM 2026,세부3,선정평가의견_반영사항_대비표_세부3.pdf,4~8,평가의견,KPI·실증,"계획서·발표자료 수치 정합, 도전적 목표, 공정·통합품질 검증과 제3자 검증 요구",profile,high,profile-rule,
EV-006,PI-LAM 2026,세부3,선정평가의견_반영사항_대비표_세부3.pdf,8~11,평가의견,사업화·실행,"사업화·지역확산, 외부용역 경계, 예외·노후 데이터, PA Agent 기능 구체화 요구",profile,high,profile-rule,
EV-007,PI-LAM 2026,세부4,선정평가의견_반영사항_대비표_세부4.pdf,1~3,평가의견,도메인·KPI,"고무 비선형 물리현상의 시험방법·판정기준, 성능지표 산식·측정장비 요구",profile,high,profile-rule,
EV-008,PI-LAM 2026,세부4,선정평가의견_반영사항_대비표_세부4.pdf,5~9,평가의견,데이터,"정형·비정형 연계, 처리단계·공정별 비중, 희소·노후 데이터, 데이터-모델 적합성 점검 요구",profile,high,profile-rule,
EV-009,PI-LAM 2026,세부4,선정평가의견_반영사항_대비표_세부4.pdf,9~11,평가의견,KPI·차별성·사업화,"RFP 산식 정합, 기준선·검증기간·공인검증, PoC 차별성, 단계적 확산 요구",profile,high,profile-rule,
EV-010,PI-LAM 2026,세부5,선정평가의견_반영사항_대비표_세부5.pdf,1,평가의견,도메인·추적성,"소재·결함·물리모델 범위, 측정장비·주기·GT, 부품ID·트레이 매칭, 인과분리 요구",profile,high,profile-rule,
EV-011,PI-LAM 2026,세부5,선정평가의견_반영사항_대비표_세부5.pdf,2~3,평가의견,데이터·KPI,"데이터 단계·규모, 이상·드리프트, AI 기여도, 기준선·장기검증·외부시험 요구",profile,high,profile-rule,
EV-012,PI-LAM 2026,세부5,선정평가의견_반영사항_대비표_세부5.pdf,2~5,평가의견,역할·현장·사업화,"기관 역할·총괄모델 적용절차, 공정·Agent 산출물, XAI/HITL, 용역·IP·수익배분 요구",profile,high,profile-rule,
EV-013,PI-LAM 2026,세부7,선정평가의견_반영사항_대비표_세부7.pdf,1~2,평가의견,안전·도메인,"안전부품 계층형 제어·Safety Constraint·Fail-safe, PINN 물리변수·CTQ·GT 구체화 요구",profile,high,profile-rule,
EV-014,PI-LAM 2026,세부7,선정평가의견_반영사항_대비표_세부7.pdf,2~5,평가의견,데이터·검증,"희소 이상데이터, 데이터 품질·계보, 독립 Test·공인검증, 공정·연차 데이터 규모 요구",profile,high,profile-rule,
EV-015,PI-LAM 2026,세부7,선정평가의견_반영사항_대비표_세부7.pdf,6~10,평가의견,산출물·협업·사업화,"연차 적용공정·Agent, 기관 책임, 협업·Risk, 사업화·표준패키지·Baseline 요구",profile,high,profile-rule,
EV-016,PI-LAM 2026,세부8,선정평가의견_반영사항_대비표_세부8.pdf,1~2,평가의견,KPI·역할,"연차 목표 누락, 기준선, 시험설계, AI 기여도, 총괄 의존성과 자체역량 구분 요구",profile,high,profile-rule,
EV-017,PI-LAM 2026,세부8,선정평가의견_반영사항_대비표_세부8.pdf,2~4,평가의견,데이터·현장,"공정 간 인과, 시간동기·버퍼·복구, 레이턴시, HITL·설명·안전복귀 요구",profile,high,profile-rule,
EV-018,PI-LAM 2026,세부8,선정평가의견_반영사항_대비표_세부8.pdf,4~10,평가의견,연계·사업화,"데이터 구성, 총괄 전달·검증, 기관 역할·피드백, 기술이전 패키지·사업화 요구",profile,high,profile-rule,
EV-019,PI-LAM 2026,세부9,선정평가의견_반영사항_대비표_세부9.pdf,1~2,평가의견,도메인·데이터,"공정별 입력·출력·물리식·센서·주기·GT·제어, 용접 동기화, 암묵지·재학습 요구",profile,high,profile-rule,
EV-020,PI-LAM 2026,세부9,선정평가의견_반영사항_대비표_세부9.pdf,2~5,평가의견,KPI·연계,"기준선·시험설계·데이터 규모, 총괄 PINN 경계, 적용공정·Agent·AI 기여도·외부시험 요구",profile,high,profile-rule,
EV-021,PI-LAM 2026,세부9,선정평가의견_반영사항_대비표_세부9.pdf,3~8,평가의견,역량·사업화,"책임자 역량, 도메인 특화, 자체기술, 사업화·해외PoC·매출, 협업·리스크 요구",profile,medium,profile-rule,일부 위원 중심
EV-022,PI-LAM 2026,세부13,선정평가의견_반영사항_대비표_세부13.pdf,1~2,평가의견,도메인·KPI,"공정별 물리변수·센서·주기·시간정합, 데이터셋 충분성, KPI 단위·RFP 산식·시험설계 요구",profile,high,profile-rule,
EV-023,PI-LAM 2026,세부13,선정평가의견_반영사항_대비표_세부13.pdf,2~4,평가의견,데이터·산출물,"Raw·전처리·분석·AI Ready, 적용공정·Agent 연차 산출물, 담당기관·피드백·리스크 요구",profile,high,profile-rule,
EV-024,PI-LAM 2026,세부13,선정평가의견_반영사항_대비표_세부13.pdf,2~5,평가의견,사업화·공식정합,기술이전·제품화·매출·적용기업 정량화와 RFP 가이드 산식 일치 요구,profile,high,profile-rule,
